county_full_name,population,median_income,starbucks_count,dunkin_count,total_coffee_shops,population_per_shop,population_opportunity,income_opportunity,opportunity_score,opportunity_level,market_landscape,county,state
"Alexandria city, Virginia",156788,113638,0,0,0,156788.0,0.9968944099378882,0.9801242236024845,0.9885093167701864,Very High,Untapped,Alexandria city,Virginia
"Manassas city, Virginia",42674,117919,0,0,0,42674.0,0.9732919254658385,0.9838509316770186,0.9785714285714286,Very High,Untapped,Manassas city,Virginia
"Anchorage Municipality, Alaska",289069,98152,0,0,0,289069.0,0.9987577639751553,0.9493788819875777,0.9740683229813665,Very High,Untapped,Anchorage Municipality,Alaska
"Comal, Texas",174552,99015,1,1,2,58184.0,0.9885093167701864,0.9518633540372671,0.9701863354037268,Very High,Competitive,Comal,Texas
"Chesapeake city, Virginia",251153,94189,0,0,0,251153.0,0.9984472049689441,0.9369565217391305,0.9677018633540373,Very High,Untapped,Chesapeake city,Virginia
"Virginia Beach city, Virginia",457066,90685,0,0,0,457066.0,0.9996894409937889,0.9248447204968944,0.9622670807453416,Very High,Untapped,Virginia Beach city,Virginia
"Suffolk city, Virginia",96638,90089,0,0,0,96638.0,0.9947204968944099,0.9226708074534161,0.958695652173913,Very High,Untapped,Suffolk city,Virginia
"Monroe, Illinois",34969,101635,0,0,0,34969.0,0.9490683229813665,0.9586956521739131,0.9538819875776398,Very High,Untapped,Monroe,Illinois
"Juneau City and, Alaska",31969,100513,0,0,0,31969.0,0.9319875776397516,0.9552795031055901,0.9436335403726708,Very High,Untapped,Juneau City and,Alaska
"Lincoln, Missouri",61636,85276,0,0,0,61636.0,0.9903726708074534,0.889751552795031,0.9400621118012422,Very High,Untapped,Lincoln,Missouri
"Ascension, Louisiana",128593,92266,3,0,3,32148.25,0.9332298136645962,0.9301242236024845,0.9316770186335404,Very High,Starbucks Stronghold,Ascension,Louisiana
"Chisago, Minnesota",57434,98260,1,0,1,28717.0,0.9096273291925466,0.9496894409937888,0.9296583850931677,Very High,Starbucks Stronghold,Chisago,Minnesota
"Fayette, Tennessee",42653,84764,0,0,0,42653.0,0.9729813664596273,0.886335403726708,0.9296583850931677,Very High,Untapped,Fayette,Tennessee
"Woodford, Illinois",38348,85629,0,0,0,38348.0,0.9630434782608696,0.8928571428571429,0.9279503105590062,Very High,Untapped,Woodford,Illinois
"Fairfax city, Virginia",24478,132774,0,0,0,24478.0,0.8611801242236025,0.9944099378881988,0.9277950310559007,Very High,Untapped,Fairfax city,Virginia
"Lee, Georgia",33337,88024,0,0,0,33337.0,0.9409937888198758,0.9111801242236025,0.9260869565217391,Very High,Untapped,Lee,Georgia
"LaGrange, Indiana",40596,83741,0,0,0,40596.0,0.9686335403726708,0.8795031055900621,0.9240683229813664,Very High,Untapped,LaGrange,Indiana
"Utah, Utah",683622,96877,24,0,24,27344.88,0.8953416149068323,0.9475155279503106,0.9214285714285715,Very High,Starbucks Stronghold,Utah,Utah
"Sioux, Iowa",35984,84736,0,0,0,35984.0,0.9540372670807453,0.8857142857142857,0.9198757763975155,Very High,Untapped,Sioux,Iowa
"Le Sueur, Minnesota",28936,90218,0,0,0,28936.0,0.912111801242236,0.9236024844720497,0.9178571428571429,Very High,Untapped,Le Sueur,Minnesota
"Tooele, Utah",76648,101846,2,0,2,25549.333333333332,0.8763975155279503,0.9593167701863354,0.9178571428571429,Very High,Starbucks Stronghold,Tooele,Utah
"Cheatham, Tennessee",41500,82015,0,0,0,41500.0,0.9701863354037267,0.8614906832298137,0.9158385093167702,Very High,Untapped,Cheatham,Tennessee
"Wright, Minnesota",145270,106666,5,0,5,24211.666666666668,0.856832298136646,0.9680124223602484,0.9124223602484471,Very High,Starbucks Stronghold,Wright,Minnesota
"Clinton, Illinois",36899,82314,0,0,0,36899.0,0.9577639751552796,0.8639751552795031,0.9108695652173913,Very High,Untapped,Clinton,Illinois
"St. Mary's, Maryland",114372,114580,2,2,4,22874.4,0.8357142857142857,0.9819875776397515,0.9088509316770186,Very High,Competitive,St. Mary's,Maryland
"Putnam, Ohio",34352,82785,0,0,0,34352.0,0.9472049689440993,0.8683229813664596,0.9077639751552795,Very High,Untapped,Putnam,Ohio
"St. Croix, Wisconsin",94819,102482,3,0,3,23704.75,0.8490683229813665,0.9611801242236024,0.9051242236024845,Very High,Starbucks Stronghold,St. Croix,Wisconsin
"Wilson, Texas",51501,92461,1,0,1,25750.5,0.8795031055900621,0.9304347826086956,0.9049689440993789,Very High,Starbucks Stronghold,Wilson,Texas
"Geauga, Ohio",95479,100783,1,2,3,23869.75,0.8527950310559006,0.9568322981366459,0.9048136645962732,Very High,Dunkin' Dominion,Geauga,Ohio
"Perry, Pennsylvania",45988,78824,0,0,0,45988.0,0.9804347826086957,0.8288819875776398,0.9046583850931678,Very High,Untapped,Perry,Pennsylvania
"Jefferson, Missouri",228227,80522,3,2,5,38037.833333333336,0.9614906832298137,0.8478260869565217,0.9046583850931678,Very High,Starbucks Stronghold,Jefferson,Missouri
"Jefferson, Idaho",32234,82952,0,0,0,32234.0,0.934472049689441,0.8714285714285714,0.9029503105590062,Very High,Untapped,Jefferson,Idaho
"Rogers, Oklahoma",97235,77688,1,0,1,48617.5,0.9835403726708074,0.8167701863354038,0.9001552795031056,Very High,Starbucks Stronghold,Rogers,Oklahoma
"Carlton, Minnesota",36457,80042,0,0,0,36457.0,0.9559006211180124,0.8428571428571429,0.8993788819875776,Very High,Untapped,Carlton,Minnesota
"Wagoner, Oklahoma",84339,78520,1,0,1,42169.5,0.9720496894409938,0.8263975155279503,0.899223602484472,Very High,Starbucks Stronghold,Wagoner,Oklahoma
"Fredericksburg city, Virginia",28383,85368,0,0,0,28383.0,0.9055900621118013,0.8906832298136645,0.8981366459627329,Very High,Untapped,Fredericksburg city,Virginia
"Botetourt, Virginia",33875,80467,0,0,0,33875.0,0.9444099378881987,0.8475155279503106,0.8959627329192547,Very High,Untapped,Botetourt,Virginia
"Oconee, Georgia",42788,115925,0,1,1,21394.0,0.8077639751552795,0.9832298136645963,0.895496894409938,Very High,Dunkin' Dominion,Oconee,Georgia
"Pottawatomie, Kansas",25808,87694,0,0,0,25808.0,0.8813664596273292,0.908695652173913,0.8950310559006212,Very High,Untapped,Pottawatomie,Kansas
"Union, Ohio",65293,109506,2,0,2,21764.333333333332,0.8145962732919255,0.9748447204968944,0.89472049689441,Very High,Starbucks Stronghold,Union,Ohio
"Bingham, Idaho",48993,76842,0,0,0,48993.0,0.9847826086956522,0.8024844720496894,0.8936335403726707,Very High,Untapped,Bingham,Idaho
"Canadian, Oklahoma",162621,85427,5,0,5,27103.5,0.8950310559006212,0.8909937888198758,0.8930124223602485,Very High,Starbucks Stronghold,Canadian,Oklahoma
"Midland, Michigan",83641,77538,1,0,1,41820.5,0.9714285714285714,0.8142857142857143,0.8928571428571428,Very High,Starbucks Stronghold,Midland,Michigan
"Dinwiddie, Virginia",28083,83898,0,0,0,28083.0,0.9040372670807454,0.8804347826086957,0.8922360248447205,Very High,Untapped,Dinwiddie,Virginia
"Columbia, Wisconsin",58322,82792,0,1,1,29161.0,0.9145962732919255,0.8690993788819876,0.8918478260869566,Very High,Dunkin' Dominion,Columbia,Wisconsin
"Benton, Arkansas",294541,89879,10,1,11,24545.083333333332,0.8621118012422361,0.9211180124223602,0.8916149068322982,Very High,Starbucks Stronghold,Benton,Arkansas
"Clinton, Michigan",79419,85928,1,1,2,26473.0,0.8881987577639752,0.8944099378881988,0.8913043478260869,Very High,Competitive,Clinton,Michigan
"Morton, North Dakota",33479,79483,0,0,0,33479.0,0.9428571428571428,0.8363354037267081,0.8895962732919255,Very High,Untapped,Morton,North Dakota
"Wise, Texas",72359,89897,2,0,2,24119.666666666668,0.8562111801242236,0.9214285714285714,0.8888198757763974,Very High,Starbucks Stronghold,Wise,Texas
"Santa Rosa, Florida",193719,88968,6,1,7,24214.875,0.8571428571428571,0.9180124223602485,0.8875776397515528,Very High,Starbucks Stronghold,Santa Rosa,Florida
"Polk, Wisconsin",45327,76208,0,0,0,45327.0,0.9788819875776398,0.7934782608695652,0.8861801242236025,Very High,Untapped,Polk,Wisconsin
"Lapeer, Michigan",88703,76228,1,0,1,44351.5,0.9757763975155279,0.7937888198757764,0.8847826086956522,Very High,Starbucks Stronghold,Lapeer,Michigan
"Lafayette, Missouri",32974,79091,0,0,0,32974.0,0.9381987577639752,0.831055900621118,0.8846273291925466,Very High,Untapped,Lafayette,Missouri
"Limestone, Alabama",107577,83534,2,1,3,26894.25,0.8922360248447205,0.8770186335403727,0.8846273291925466,Very High,Starbucks Stronghold,Limestone,Alabama
"Grand Traverse, Michigan",95757,79486,2,0,2,31919.0,0.9316770186335404,0.8366459627329192,0.8841614906832298,Very High,Starbucks Stronghold,Grand Traverse,Michigan
