county_full_name,population
"Autauga County, Alabama",59285
"Baldwin County, Alabama",239945
"Barbour County, Alabama",24757
"Bibb County, Alabama",22152
"Blount County, Alabama",59292
"Bullock County, Alabama",10157
"Butler County, Alabama",18807
"Calhoun County, Alabama",116141
"Chambers County, Alabama",34450
"Cherokee County, Alabama",25224
"Chilton County, Alabama",45500
"Choctaw County, Alabama",12525
"Clarke County, Alabama",22802
"Clay County, Alabama",14188
"Cleburne County, Alabama",15254
"Coffee County, Alabama",54231
"Colbert County, Alabama",57648
"Conecuh County, Alabama",11411
"Coosa County, Alabama",10323
"Covington County, Alabama",37647
"Crenshaw County, Alabama",13144
"Cullman County, Alabama",89463
"Dale County, Alabama",49516
"Dallas County, Alabama",37536
"DeKalb County, Alabama",71946
"Elmore County, Alabama",88669
"Escambia County, Alabama",36695
"Etowah County, Alabama",103208
"Fayette County, Alabama",16173
"Franklin County, Alabama",31978
"Geneva County, Alabama",26726
"Greene County, Alabama",7589
"Hale County, Alabama",14749
"Henry County, Alabama",17450
"Houston County, Alabama",107628
"Jackson County, Alabama",52839
"Jefferson County, Alabama",669744
"Lamar County, Alabama",13809
"Lauderdale County, Alabama",95037
"Lawrence County, Alabama",33182
"Lee County, Alabama",177663
"Limestone County, Alabama",107577
"Lowndes County, Alabama",10008
"Macon County, Alabama",18951
"Madison County, Alabama",397135
"Marengo County, Alabama",19027
"Marion County, Alabama",29190
"Marshall County, Alabama",98712
"Mobile County, Alabama",413162
"Monroe County, Alabama",19580
"Montgomery County, Alabama",227197
"Morgan County, Alabama",123742
"Perry County, Alabama",8231
"Pickens County, Alabama",18843
"Pike County, Alabama",32953
"Randolph County, Alabama",22310
"Russell County, Alabama",58858
"St. Clair County, Alabama",92903
"Shelby County, Alabama",226955
"Sumter County, Alabama",12020
"Talladega County, Alabama",81170
"Tallapoosa County, Alabama",41070
"Tuscaloosa County, Alabama",234036
"Walker County, Alabama",64886
"Washington County, Alabama",15270
"Wilcox County, Alabama",10347
"Winston County, Alabama",23637
"Aleutians East Borough, Alaska",3423
"Aleutians West Census Area, Alaska",5178
"Anchorage Municipality, Alaska",289069
"Bethel Census Area, Alaska",18487
"Bristol Bay Borough, Alaska",878
"Chugach Census Area, Alaska",6964
"Copper River Census Area, Alaska",2626
"Denali Borough, Alaska",2029
"Dillingham Census Area, Alaska",4780
"Fairbanks North Star Borough, Alaska",95555
"Haines Borough, Alaska",2077
"Hoonah-Angoon Census Area, Alaska",2313
"Juneau City and Borough, Alaska",31969
"Kenai Peninsula Borough, Alaska",59843
"Ketchikan Gateway Borough, Alaska",13870
"Kodiak Island Borough, Alaska",12878
"Kusilvak Census Area, Alaska",8277
"Lake and Peninsula Borough, Alaska",1007
"Matanuska-Susitna Borough, Alaska",110677
"Nome Census Area, Alaska",9925
"North Slope Borough, Alaska",10891
"Northwest Arctic Borough, Alaska",7611
"Petersburg Borough, Alaska",3394
